nombre,precio_competidor,disponibilidad
A Light in the Attic,51.77,In Stock
Tipping the Velvet,53.74,In Stock
Soumission,50.1,In Stock
Sharp Objects,47.82,In Stock
Sapiens: A Brief History of Humankind,54.23,In Stock
The Requiem Red,22.65,In Stock
The Dirty Little Secrets of Getting Your Dream Job,33.34,In Stock
The Boys in the Boat: Nine Americans and Their Quest for Gold at the 1936 Berlin Olympics,22.6,In Stock
The Black Maria,52.15,In Stock
"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,In Stock
Shakespeare's Sonnets,20.66,In Stock
Set Me Free,17.46,In Stock
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,In Stock
Rip it Up and Start Again,35.02,In Stock
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,In Stock
